"job_id","job_title","company_name","job_location","job_schedule_type","salary_year_avg","job_posted_date"
226942,"Data Analyst","Mantys","Anywhere","Full-time","650000.0","2023-02-20 15:13:33"
209315,"Data base administrator","ЛАНИТ","Belarus","Full-time","400000.0","2023-10-03 11:22:20"
1110602,"HC Data Analyst , Senior","Illuminate Mission Solutions","Bethesda, MD","Full-time","375000.0","2023-08-18 07:00:22"
1147675,"Sr Data Analyst","Illuminate Mission Solutions","Bethesda, MD","Full-time","375000.0","2023-04-05 12:00:12"
641501,"Head of Infrastructure Management & Data Analytics - Financial...","Citigroup, Inc","Jacksonville, FL","Full-time","375000.0","2023-07-03 11:30:01"
229253,"Director of Safety Data Analysis","Torc Robotics","Austin, TX","Full-time","375000.0","2023-04-21 08:01:55"
1059665,"Data Analyst","Anthropic","San Francisco, CA","Full-time","350000.0","2023-06-22 07:00:59"
101757,"Head of Data Analytics","Care.com","Austin, TX","Full-time","350000.0","2023-10-23 05:01:05"
547382,"Director of Analytics","Meta","Anywhere","Full-time","336500.0","2023-08-23 12:04:42"
894135,"Research Scientist","OpenAI","San Francisco, CA","Full-time","285000.0","2023-04-19 18:04:21"
